Title,rating,reviewCount,website,phoneNumber,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday,latitude,longitude
Metal Machine Tattoo Studio,,,https://www.mmtattoo.com/,+27 21 423 0688,49 Shortmarket St - Central - Cape Town - 8001 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 3p.m.,Closed,-33.921687500000004,18.41906250000001
Hoodoo Tattoos,,,https://www.facebook.com/HoodooTattoos/,+27 21 486 9003,186 Lower Main Rd - Observatory - Cape Town - 7441 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-33.93206250000001,18.466312499999972
Cape Electric Tattoo,,,capeelectrictattoo.com,+27 21 423 7646,11 Buitensingel St - Gardens - Cape Town - 8001 - South Africa,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,Closed,-33.926812500000004,18.41306249999998
Cape Town Tattoos. Mr Lucky'S,,,http://www.capetowntattoo.com/,+27 84 588 6005,Fairweather house - 31 Francis Street - Zonnebloem The Basement - Zonnebloem - Cape Town - 7915 - South Africa,Closed,12 - 5:30p.m.,12 - 5:30p.m.,12 - 5:30p.m.,12 - 5:30p.m.,12 - 5:30p.m.,12 - 5:30p.m.,-33.928312500000004,18.43793749999999
Tomb Tattoo,,,tombtattoo.co.za,+27 21 461 5218,Unit 16 gardens business village Wandel street - Gardens - Cape Town - 8001 - South Africa,Closed,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,Closed,-33.93118750000001,18.417687500000014
Betrue Ink Tattoo'S And Body Piercing Studio,,,,+27 83 364 6483,african mall - 98 Long St - Cape Town City Centre - Cape Town - 8001 - South Africa,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,10a.m. - 4p.m.,-33.92268750000001,18.418812500000016
More Than Hype - Tattoo Art Collective,,,,+27 72 606 1499,Model Villa Oranjezicht - 4 Hiddingh Ave - Gardens - Cape Town - 8001 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,-33.93418750000001,18.41668749999998
Sleight Of Hand Tattoos,,,https://sleightofhandtattoos.wixsite.com/soht,,48 Albert Rd - Woodstock - Cape Town - 7915 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,-33.926437500000006,18.445437499999983
Keepsake Tattoo Cape Town,,,,,Stoked Building - 175 Main Rd - Muizenberg - Cape Town - 7806 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,12a.m. - 4p.m.,Closed,-34.1090625,18.46793749999999
Wildfire Tattoo And Body Piercing Studio,,,wildfireza.com,+27 21 422 0524,206 Long St - Cape Town City Centre - Cape Town - 8000 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 5p.m.,Closed,-33.9256875,18.41556249999998
The Body Architects,,,thebodyarchitects.com,+27 82 226 4065,166 2nd Ave - Kenilworth - Cape Town - 7708 - South Africa,Closed,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,11a.m. - 5p.m.,Closed,-33.9944375,18.473687499999997
Queen Of Steel,,,http://www.queenofsteel.co.za/,+27 21 712 5088,Shop G64 Blue Route Mall - Tokai - Cape Town - 7945 - South Africa,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 5p.m.,-34.06368750000001,18.453062499999973
Kings And Queens Ink Lounge,,,,+27 79 399 0926,5 Kiepersol St - Kuils River - Cape Town - 7580 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 3p.m.,Closed,-33.92306250000001,18.695812500000002
Good Things Tattoo,,,goodthingstattoo.com,+27 60 603 3586,304 Albert Rd - Woodstock - Cape Town - 7925 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-33.9275625,18.455812499999993
Kak Lucky Tattoos,,,kakluckytattoos.com,+27 21 422 2963,43 Kloof St - Gardens - Cape Town - 8001 - South Africa,Closed,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,Closed,-33.9284375,18.412437499999996
Dark Horse Society,,,darkhorse.co.za,,91 1st Ave - Claremont - Cape Town - 7708 - South Africa,Closed,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,Closed,-33.98918750000001,18.472437499999998
Skullbox & Tattoo Company,,,skullboxtattoocompany.com,+27 72 403 3071,Shop 2 - The Emporium - Sandown Rd - Parklands - Cape Town - 7441 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-33.801437500000006,18.49368749999998
Arcane Tattoo & Piercing,,,https://www.facebook.com/Arcanetattoo,+27 21 447 1967,98 Lower Main Rd - Observatory - Cape Town - 7935 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 3p.m.,Closed,-33.93831250000001,18.468937499999996
Inkfinity Tattoo Studio,,,https://www.facebook.com/inkfinity.tattoo.studio/,+27 74 664 6464,242 Voortrekker Rd - Parow - Cape Town - 7500 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-33.905437500000005,18.589437500000017
Skintrade Tattoos,,,skintrade.co.za,+27 76 025 2410,Shop 5 - Northpoint Centre - Porterfield Rd - Table View - Cape Town - 7441 - South Africa,10a.m. - 3p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-33.8205625,18.477687499999988
Marius Bosman'S Tattoo Studio,,,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2Fmariusbosmantattoos&refsrc=deprecated&_rdr,+27 78 607 5775,580 Frans Conradie Dr - Brackenfell - Cape Town - 7139 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed,-33.8783125,18.679312499999995
Devon Slaves Tattoos,,,,+27 83 229 0376,30 Tennant Cres - N.T. - Cape Town - 7493 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.,-33.942687500000005,18.65793749999999
The Ink Lane Tattoos,,,facebook.com,+27 81 584 1336,Burgundy Estate - Cape Town - 7441 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,-33.8394375,18.5493125
Mantra Tattoos,,,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2Fsamantratattoos%2F&refsrc=deprecated&_rdr,+27 82 528 0566,142 Buitengracht St - Cape Town City Centre - Cape Town - 8000 - South Africa,,,,,,,,-33.9221875,18.415312499999985
Primal Culture Tattoo Studio,,,primalculture.co.za,+27 21 707 1299,unit 3 - Clarewood - 1 Annandale Rd - Diep River - Cape Town - 7800 - South Africa,Closed,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 2p.m.,Closed,-34.0298125,18.46606249999998
Monarch Tattoo Co.,,,https://www.monarchtattoo.co.za/,+27 76 839 6849,The Old Castle Brewery 4th Floor - Unit 410 - Woodstock - Cape Town - 7925 - South Africa,Closed,Closed,10:30a.m. - 5p.m.,10:30a.m. - 5p.m.,10:30a.m. - 5p.m.,10:30a.m. - 5p.m.,10:30a.m. - 5p.m.,-33.92481250000001,18.44868750000002
Disciples Ink Durbanville Tattoo Studio,,,disciplesink.co.za,+27 61 289 9798,1st Floor Shop 1 - Tygervally - High Street Center Durban Road - 8 Durbanville Ave - Cape Town - 7530 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.,-33.8679375,18.640062499999985
Hellhound Tattoo Studio,,,hellhoundtattoo.co.za,+27 81 506 6495,7 Blaauwberg Rd - Table View - Cape Town - 7441 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,9a.m. - 6p.m.,Closed,-33.8216875,18.479062499999984
Ten Two Tattoo,,,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2Fprofile.php%3Fid%3D1096652487018983&refsrc=deprecated&_rdr,+27 73 069 2156,24A - 26 Main Rd - Rondebosch - Cape Town - 7700 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-33.9599375,18.469687500000006
Wildfire Tattoo & Piercing - Canal Walk,,,https://wildfireza.com/,+27 21 552 8929,Shop 478a - Entrance 8 - Canal Walk - Century Blvd - Century City - Cape Town - 7441 - South Africa,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,-33.8920625,18.511812499999976
Disciples Ink Strand Tattoo Studio,,,disciplesink.co.za,+27 71 099 7458,Beach Rd - Strand - Cape Town - 7140 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.,-34.1188125,18.827937500000004
